id;country;iseurop;continent;lat;long;;;;;;;;
57;Belarus;No;EU;53.709807;27.953389;;;;;;;;
34;Denmark;Yes;EU;56.26392;9.501785;;;;;;;;
67;Estonia;Yes;EU;58.595272;25.013607;;;;;;;;
42;Finland;Yes;EU;61.92411;25.748151;;;;;;;;
4;France;Yes;EU;46.227638;2.213749;;;;;;;;
2;Germany;Yes;EU;51.165691;10.451526;;;;;;;;
10;Italy;Yes;EU;41.87194;12.56738;;;;;;;;
69;Latvia;Yes;EU;56.879635;24.603189;;;;;;;;
55;Lithuania;Yes;EU;55.169438;23.881275;;;;;;;;
6;Netherlands;Yes;EU;52.132633;5.291266;;;;;;;;
49;Nigeria;No;AF;9.081999;8.675277;;;;;;;;
39;Norway;No;EU;60.472024;8.468946;;;;;;;;
18;Poland;Yes;EU;51.919438;19.145136;;;;;;;;
19;Russian Federation;No;EU;61.52401;105.318756;;;;;;;;
29;Sweden;Yes;EU;60.128161;18.643501;;;;;;;;
5;United Kingdom;No;EU;55.378051;-3.435973;;;;;;;;
0;United States;No;NAM;37.09024;-95.712891;;;;;;;;
63;Uzbekistan;No;AS;41.377491;64.585262;;;;;;;;
